customer_id,customer_name,email,city,state,country
CUST_1,Victoria Marquez,aball@trujillo.org,East Christopher,Indiana,India
CUST_2,Dana Johnson,nfranklin@yahoo.com,New Jasonfurt,Arizona,India
CUST_3,Tara Anderson,abigail40@yahoo.com,Walkerton,Michigan,India
CUST_4,Jennifer Parsons,adam70@carson.net,South Hannahfort,Florida,India
CUST_5,Alfred Price,jose08@yahoo.com,North Tanyaborough,Missouri,India
CUST_6,Maria Bradley,jgallagher@bernard.org,Dunnberg,Georgia,India
CUST_7,Kevin Hammond,aaron07@franklin-johnson.com,Port Stevenland,Pennsylvania,India
CUST_8,Nicholas Smith,dayala@gmail.com,Port Ericfort,North Dakota,India
CUST_9,Angela Long,rowericardo@collins.com,Alexandrashire,Delaware,India
CUST_10,Martin Faulkner,imatthews@yahoo.com,Lake Johnville,Maryland,India
CUST_11,Tracey Daniels,millerjacob@leon-mcdaniel.com,Lake Melissahaven,Georgia,India
CUST_12,Patrick Murphy,josephnavarro@hotmail.com,East Barbara,Massachusetts,India
CUST_13,Craig Calhoun,donnagreer@gmail.com,South Tanya,Nevada,India
CUST_14,Jeremy Short,steven39@bailey-long.com,Hernandezhaven,Nebraska,India
CUST_15,Michael Vance,susan39@hotmail.com,Jessicaport,Florida,India
CUST_16,Jeremy Smith,brian78@yahoo.com,South Melissashire,Indiana,India
CUST_17,Kenneth Jordan,monicawilliams@gmail.com,Jacobborough,Vermont,India
CUST_18,Diane Nelson DDS,calvin22@yang-wilson.info,Port John,Nevada,India
CUST_19,Christopher Rowe,richardcooper@yahoo.com,Amandamouth,California,India
CUST_20,Anthony Sullivan,sabrina31@hotmail.com,Margaretburgh,Rhode Island,India
CUST_21,Jeremy Smith,zpayne@gmail.com,East Jeremyburgh,Rhode Island,India
CUST_22,Paula Martinez,matastephanie@gmail.com,South Jasmine,Vermont,India
CUST_23,Xavier Hall,cjones@barnes.com,Andrewsport,Rhode Island,India
CUST_24,Tony Bryant,fgood@hotmail.com,Kristinamouth,Minnesota,India
CUST_25,Tiffany Harris,billy33@gmail.com,South Katieside,Florida,India
CUST_26,Nicholas Gomez II,vwoods@gmail.com,East Kylebury,Vermont,India
CUST_27,Robert Allen,iwaller@collins.org,Riveraburgh,Idaho,India
CUST_28,Sarah Gregory,cindyleonard@hotmail.com,New Jessicahaven,Washington,India
CUST_29,Zachary Vasquez,emily10@gmail.com,North Mallorystad,Vermont,India
CUST_30,Steven Sutton,murrayfrank@chen-ramsey.com,Walkerside,Kentucky,India
CUST_31,Emily Smith,tuckertimothy@hotmail.com,Summershaven,Pennsylvania,India
CUST_32,John Dominguez,cheryl14@glover.com,South Ryanville,Texas,India
CUST_33,Kathleen Holmes,jamescontreras@yahoo.com,West Sarahburgh,North Carolina,India
CUST_34,Ronald Evans,diane38@hotmail.com,New Charlesstad,Minnesota,India
CUST_35,Allison Luna,jeremypowell@gmail.com,Galvanberg,New Jersey,India
CUST_36,Colleen Ramirez,kellyann@lewis-bryant.com,New Wesleyview,Virginia,India
CUST_37,Eric Nelson,marvin53@stevenson.org,East Lisaburgh,Texas,India
CUST_38,Edward Price,williamstodd@yahoo.com,Cheryltown,Virginia,India
CUST_39,Tony Phillips,heather68@ramirez-walton.biz,Port Allisonfort,Vermont,India
CUST_40,Carlos Powell,kcamacho@gmail.com,Maryfurt,North Dakota,India
CUST_41,Louis Smith,lopezshannon@yahoo.com,Johnville,North Carolina,India
CUST_42,Stephanie Ortiz,todd53@anderson-thomas.com,South Aaronton,New York,India
CUST_43,Aaron Chapman,uwatkins@gmail.com,Kingmouth,Tennessee,India
CUST_44,Denise Gilmore,justinwallace@hotmail.com,Colintown,South Carolina,India
CUST_45,Cindy Wilson,ymanning@williams.info,East Angelamouth,West Virginia,India
CUST_46,Christopher Frank,jimenezjennifer@gmail.com,South Jessica,Arkansas,India
CUST_47,Samantha Herman,brian83@kim.biz,Johnsontown,Illinois,India
CUST_48,Debra Lee,thomas70@martinez.com,Lake Dawnmouth,Michigan,India
CUST_49,Lisa Miller,rspencer@hotmail.com,Scottfort,Indiana,India
CUST_50,Ashley Bell,nliu@novak-weaver.com,Port Larry,Texas,India
